Sequential,Greedy,,,,,
0.424092054,0.392352104,,,,,
0.160933018,0.148867846,,,,,
0.65327692,0.640278101,,,,,
0.033298016,0.019574165,,,,,
0.526300907,0.629671812,,,,,
0.114465952,0.082246065,,,,,
4.244266033,2.483155966,,,,,
0.025230885,0.022070885,,,,,
0.34896493,0.263863802,,,,,
2.579618931,0.859533072,,,,,
1.503168106,0.486974001,,,,,
0.870351076,1.511706829,,,,SEQUENTIAL,GREEDY
0.332350016,0.328813076,,,BEST CASE,0.002500057,0.002691031
2.002076864,1.872193098,,,AVERAGE CASE,0.521603363,0.393751641
0.014744997,0.013128996,,,WORST CASE,6.855337858,4.891355038
0.043256998,0.036617994,,,,,
0.533096075,0.379784107,,,,,
0.183570862,0.165271044,,,,,
1.200728893,1.203830004,,,,,
0.020133018,0.020087004,,,,,
1.774492025,1.669311047,,,,,
0.112542868,0.078867197,,,,,
0.279215097,0.213340044,,,,,
0.112831116,0.110564947,,,,,
0.11403203,0.095941067,,,,,
0.017976999,0.015628815,,,,,
0.010407925,0.009021997,,,,,
0.053458929,0.019533873,,,,,
0.424587011,0.402506828,,,,,
0.048110008,0.047116995,,,,,
0.047085047,0.037976027,,,,,
2.605386972,1.717012882,,,,,
0.002500057,0.002691031,,,,,
0.056766033,0.051909924,,,,,
0.721982002,0.412461996,,,,,
0.047842026,0.046611071,,,,,
1.186975002,0.838337898,,,,,
0.03887105,0.028205156,,,,,
0.193505049,0.153231859,,,,,
0.028639793,0.020274878,,,,,
0.58979702,0.662336111,,,,,
0.022242069,0.009509087,,,,,
0.045011997,0.045381069,,,,,
0.014771938,0.013443947,,,,,
1.829838991,1.203525066,,,,,
1.578914881,0.964691162,,,,,
0.01910305,0.006155968,,,,,
0.258009911,0.249660015,,,,,
0.063567162,0.049116135,,,,,
0.013731956,0.009301186,,,,,
0.156604052,0.004693985,,,,,
0.219655037,0.465620995,,,,,
0.343775034,0.201234818,,,,,
0.419234037,0.248955965,,,,,
0.065463066,0.05765295,,,,,
0.238667965,0.237713099,,,,,
0.037801981,0.035615921,,,,,
0.544373035,0.518669128,,,,,
0.073549032,0.082603931,,,,,
0.091228008,0.106663942,,,,,
0.222075939,0.189918995,,,,,
4.249044895,4.891355038,,,,,
0.065897942,0.024497032,,,,,
0.359267235,0.16957593,,,,,
0.050470114,0.048882008,,,,,
0.02554512,0.018908024,,,,,
0.783420086,1.343705893,,,,,
0.106980085,0.086488008,,,,,
0.026945114,0.015191078,,,,,
0.073897123,0.06973815,,,,,
0.140192986,0.137006998,,,,,
0.146981955,0.125496149,,,,,
0.551352978,0.399267912,,,,,
0.025364161,0.010668039,,,,,
0.029607058,0.023872137,,,,,
1.235168934,1.251582861,,,,,
0.348188877,0.172357082,,,,,
0.024413109,0.007563829,,,,,
0.11258316,0.10495615,,,,,
0.014034033,0.013761997,,,,,
0.046607018,0.010118008,,,,,
0.044687986,0.035574913,,,,,
6.855337858,3.668830872,,,,,
0.034825087,0.026203156,,,,,
0.006874084,0.005181074,,,,,
2.430521965,1.578641176,,,,,
0.019941807,0.014129877,,,,,
0.359256029,0.181102991,,,,,
0.138275862,0.081828117,,,,,
0.155066013,0.021006107,,,,,
0.007211924,0.00532794,,,,,
0.077665091,0.079514027,,,,,
0.102092981,0.071649075,,,,,
0.600991964,0.123587847,,,,,
0.032057047,0.020248175,,,,,
1.044986963,0.601530075,,,,,
0.165428162,0.1734519,,,,,
0.087399006,0.08183217,,,,,
